,gapfraction
2379,0.9500346263144069
2385,0.8619325463475208
2391,0.9167296839055299
2394,0.9741377251705445
2397,0.9476306844866151
2400,0.9813575107261974
2403,0.9799804182221975
2406,0.8943300405167679
2412,0.5718436323401817
2419,0.7729787386469469
2422,0.838155810454759
2425,0.8793889848519825
2429,0.946372993066777
2433,0.9580902194591927
2436,0.9657398489178282
2441,0.9994029945791908
2447,0.9989174301702659
2448,0.9948100328750985
2477,0.4332428538451129
2481,0.4616364316587995
2486,0.47539939662652136
2501,0.46197075469445265
2505,0.4302896670301766
2509,0.42464597578546015
2519,0.4937075628646708
2523,0.49053149402596574
2526,0.4930866772270292
2530,0.5065391993759303
2534,0.17015450500290544
2546,0.2750443774029468
2561,0.3428482730623194
2586,0.3434850788445159
2592,0.34373184108511706
2599,0.34539549619110543
2603,0.32384758053603124
2608,0.30669362477811296
2618,0.20166843114935484
2622,0.18275529941811872
2623,0.31256019804659824
2647,0.3044329642513154
2655,0.2473910863110637
2660,0.271104141625606
2667,0.35869677696673485
2668,0.4033687025878195
2671,0.2981922675857897
2693,0.3789233206237513
2698,0.19366855851051126
2706,0.30099421302745427
2717,0.317614843942783
2720,0.22373375150246363
2723,0.33484044035119837
2726,0.14382258590908006
2730,0.29541420236095745
2733,0.3168108766427599
2736,0.2564735287796413
2742,0.20006845662158612
2745,0.11935332372817946
2785,0.15461644391731078
2798,0.3216904009488406
2803,0.27404140829598733
2811,0.2617510566995948
2828,0.2878680538419289
2839,0.22428299648960812
2843,0.09993870744346359
2853,0.3104905792544596
2856,0.5655153748796039
2859,0.5470878075572926
2862,0.6332078295270921
2866,0.2819298399229465
2872,0.1111703694269544
2877,0.3846386525189649
2885,0.7958480263000788
2889,0.8644399691149196
2892,0.8607385355059024
2893,0.16374664681955312
2916,0.3674846967610466
2923,0.3501396992684694
2931,0.2825188852714783
2935,0.3496222945704347
2940,0.871460752863636
2943,0.21335381725266064
2950,0.06034530793539605
2953,0.4267076345053213
2954,0.7940570100376512
2965,0.0
2972,0.656443280504987
2978,0.9123038837192642
2981,0.8564639766929084
2987,0.1720012417712753
3008,0.014081367858820158
3031,0.24002801945441665
3040,0.45834892180821
3053,0.9942846681047864
3059,0.9979224211355839
3062,0.9984398258336186
3063,0.9982328639544047
3069,0.9971582541969481
3072,0.9977313794009249
3075,0.9974448167989365
3079,0.5604209286220319
3083,0.9059199057527443
3090,0.9097964609518654
3096,0.8611365391197752
3099,0.8086080221608413
3112,0.5415077968907958
3115,0.5234145526041376
3118,0.6943252644734014
3121,0.6026093116925502
3124,0.5994730432152324
3127,0.44137008764039576
3134,0.287573531167663
3139,0.3699443590947806
3146,0.3563167153557754
3149,0.27352400359795265
3152,0.4877215885120237
3156,0.40002547223128787
3159,0.28539247136364
3167,0.4089566733265938
3175,0.4909772580735033
3178,0.4739188231829145
3181,0.3736537527760752
3188,0.43343389557977186
3191,0.42223407388539086
3192,0.42480517723100925
3196,0.44943364085745896
3204,0.33671901740867805
3214,0.3629315354183416
3218,0.38477397374768163
3221,0.36466683117482707
3224,0.25803370294602274
3229,0.3488103671981342
3233,0.34873872654763705
3245,0.38380284492983197
3248,0.2348300922572377
3259,0.3040906811433848
3265,0.39404745795091817
3270,0.4501022869287653
3273,0.4509619747347306
3276,0.42940609900737897
3287,0.5397565809897554
3302,0.3693393936016939
3326,0.4044114720561663
3329,0.4105009273484203
3333,0.6802359365423039
3341,0.29172868889649517
3348,0.1914795386342108
3355,0.27721747713469236
3358,0.21118071752091508
3371,0.3530132853606311
3377,0.7701131126270626
3400,0.5535513862465872
3403,0.5658974583489218
3411,0.8047633072508298
3428,0.6975809340348811
3431,0.7218273141920128
3445,0.8212326967928869
3449,0.9374338318991936
3452,0.9426715594577598
3455,0.9188391030590558
3459,0.9577479363512621
3462,0.9649756819791924
